Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,107,9,Some Random Commen with Id 0
1,0,6,76,2,Some Random Commen with Id 1
2,0,6,96,7,Some Random Commen with Id 2
3,0,6,197,5,Some Random Commen with Id 3
4,0,6,192,8,Some Random Commen with Id 4
5,0,6,115,7,Some Random Commen with Id 5
6,0,6,148,4,Some Random Commen with Id 6
7,0,6,98,0,Some Random Commen with Id 7
8,1,0,116,5,Some Random Commen with Id 8
9,2,7,180,6,Some Random Commen with Id 9
10,2,7,19,5,Some Random Commen with Id 10
11,2,7,93,6,Some Random Commen with Id 11
12,3,2,191,6,Some Random Commen with Id 12
13,3,2,172,7,Some Random Commen with Id 13
14,3,2,113,1,Some Random Commen with Id 14
15,3,2,66,2,Some Random Commen with Id 15
16,3,2,154,2,Some Random Commen with Id 16
17,3,2,172,9,Some Random Commen with Id 17
18,3,2,65,5,Some Random Commen with Id 18
19,3,2,72,8,Some Random Commen with Id 19
20,3,2,45,8,Some Random Commen with Id 20
21,4,2,15,0,Some Random Commen with Id 21
22,4,2,167,3,Some Random Commen with Id 22
23,4,2,108,0,Some Random Commen with Id 23
24,5,9,94,6,Some Random Commen with Id 24
25,5,9,86,0,Some Random Commen with Id 25
26,5,9,17,3,Some Random Commen with Id 26
27,5,9,34,6,Some Random Commen with Id 27
28,5,9,67,8,Some Random Commen with Id 28
29,6,0,29,7,Some Random Commen with Id 29
30,6,0,166,6,Some Random Commen with Id 30
31,6,0,78,6,Some Random Commen with Id 31
32,6,0,132,8,Some Random Commen with Id 32
33,6,0,55,7,Some Random Commen with Id 33
34,6,0,43,3,Some Random Commen with Id 34
35,6,0,153,7,Some Random Commen with Id 35
36,6,0,106,2,Some Random Commen with Id 36
37,8,6,47,0,Some Random Commen with Id 37
38,9,0,76,7,Some Random Commen with Id 38
39,9,0,8,2,Some Random Commen with Id 39
40,9,0,38,8,Some Random Commen with Id 40
41,9,0,58,1,Some Random Commen with Id 41
42,9,0,97,3,Some Random Commen with Id 42
43,9,0,120,3,Some Random Commen with Id 43
44,10,7,62,0,Some Random Commen with Id 44
45,10,7,171,8,Some Random Commen with Id 45
46,10,7,162,9,Some Random Commen with Id 46
47,10,7,110,4,Some Random Commen with Id 47
